method,benchmark,accuracy,precision,recall,f1,der,num_samples,num_der_files,decision_threshold
eval_asvspoof_voxconverse,asvspoof_voxconverse,0.9431945332480819,0.4782803403493058,0.3889293517844136,0.4290018075913912,1.0353154092920358,100096,200,0.8
eval_audio_evidence,audio_evidence,0.49898097826086957,0.09667280806329251,0.9745083758193734,0.17589640779554352,1.1629027956342992,100096,200,0.35
